标题,个人评分,打分日期,我的短评,上映日期,制片国家,条目链接
"实习医生格蕾 第二十一季 / Grey's Anatomy Season 21","3","2025/02/13","","2024/09/26","美国","https://movie.douban.com/subject/36845256/"
"亚刻奥特曼 / ウルトラマンアーク","2","2025/01/20","","2024/07/06","日本","https://movie.douban.com/subject/36700679/"
"刺猬索尼克3 / Sonic the Hedgehog 3","2","2025/01/10","","2024/12/20","美国","https://movie.douban.com/subject/35771832/"
"狮子王：木法沙传奇 / Mufasa: The Lion King","2","2025/01/03","","2024/12/18","法国","https://movie.douban.com/subject/35212342/"
"超人和露易丝 第四季 / Superman & Lois Season 4","4","2025/01/03","","2024/10/07","美国","https://movie.douban.com/subject/36442561/"
"披头士1964 / Beatles '64","3","2025/01/03","","2024/11/29","美国网络","https://movie.douban.com/subject/37075556/"
"敌 / 敵","4","2024/12/28","","2024/10/31","东京国际电影节","https://movie.douban.com/subject/37040125/"
"银翼超人 / ウイングマン","3","2024/12/28","","2024/10/16","日本网络","https://movie.douban.com/subject/37028522/"
"魔法坏女巫 / Wicked","3","2024/12/27","","2024/11/19","澳大利亚","https://movie.douban.com/subject/3148694/"
"波提切利，佛罗伦萨和美第奇家族 / Botticelli, Florence And The ...","3","2024/12/27","","2022/01/24","意大利","https://movie.douban.com/subject/35590642/"
"云 / Cloud クラウド","4","2024/12/27","","2024/08/30","威尼斯电影节","https://movie.douban.com/subject/36772767/"
"梦境制片厂 / Dream Productions","3","2024/12/16","","2024/12/11","美国","https://movie.douban.com/subject/36937391/"
"破·地狱 / 破·地獄","3","2024/12/14","跳得太少了","2024/10/17","香港亚洲电影节","https://movie.douban.com/subject/36712987/"
"猎人克莱文 / Kraven the Hunter","2","2024/12/14","","2024/12/12","中国香港","https://movie.douban.com/subject/30290058/"
"皇后乐队蒙特利尔现场演唱会 / Queen Rock Montreal","5","2024/12/13","","2024/01/18","墨西哥","https://movie.douban.com/subject/36888563/"
"午夜凶铃(美版) / The Ring","2","2024/12/09","","","","https://movie.douban.com/subject/1305419/"
"午夜凶铃2(美版) / The Ring Two","1","2024/12/09","","2005/03/18","美国","https://movie.douban.com/subject/1309023/"
"午夜凶铃3(美版) / Rings","1","2024/12/09","","2017/02/01","法国","https://movie.douban.com/subject/1584991/"
"午夜凶铃 / リング","4","2024/12/09","","1998/01/31","日本","https://movie.douban.com/subject/1307696/"
"午夜凶铃2：贞子缠身 / リング2","3","2024/12/09","","1999/01/23","日本","https://movie.douban.com/subject/1294506/"
"午夜凶铃3：贞相大白 / リング0 バースデイ","3","2024/12/09","","2000/01/22","日本","https://movie.douban.com/subject/1307884/"
"午夜凶铃：凶铃再现 / らせん","2","2024/12/09","","1998/01/31","日本","https://movie.douban.com/subject/1482354/"
"午夜凶铃：最终章 / リング～最終章～","2","2024/12/09","","","","https://movie.douban.com/subject/1998681/"
"魔咒奇缘 / Spellbound","2","2024/12/01","","2024/11/22","美国网络","https://movie.douban.com/subject/35018502/"
"海洋奇缘2 / Moana 2","2","2024/12/01","","2024/11/27","美国","https://movie.douban.com/subject/36768946/"
"我的天才女友 第四季 / L'amica geniale Season 4","3","2024/12/01","","2024/09/09","美国","https://movie.douban.com/subject/35785050/"
"地狱男爵：歪曲人 / Hellboy: The Crooked Man","1","2024/12/01","","2024/08/29","葡萄牙","https://movie.douban.com/subject/36253172/"
"守望者(下) / Watchmen Chapters II","2","2024/12/01","","2024/11/26","美国网络","https://movie.douban.com/subject/36930754/"
"好东西","4","2024/11/30","意图好的地方和实际好的地方完全不在一处，这层错位本身也更突显了本片最弥足珍贵的部份。","2024/11/13","金鸡国产电影展","https://movie.douban.com/subject/36154853/"
"因果报应 / Maharaja","4","2024/11/29","幽默老印爽片","2024/06/14","印度","https://movie.douban.com/subject/36934908/"
"女巫阿加莎 / Agatha All Along","3","2024/11/28","","2024/09/18","美国","https://movie.douban.com/subject/35636428/"
"圣诞快乐小蝙蝠侠 / Merry Little Batman","2","2024/11/28","","2023/12/08","美国网络","https://movie.douban.com/subject/35601983/"
"哈莉奎茵：问题多多的情人节特集 / Harley Quinn: A Very Problema...","3","2024/11/28","","2023/02/09","美国网络","https://movie.douban.com/subject/36220361/"
"死亡男孩侦探社 / Dead Boy Detectives","3","2024/11/28","","2024/04/25","美国","https://movie.douban.com/subject/35614355/"
"云天之上：超人的奇幻故事 / Look, Up in the Sky: The Amazing St...","4","2024/11/28","","","","https://movie.douban.com/subject/1824763/"
"超/人：克里斯托弗·里夫的故事 / Super/Man: The Christopher Ree...","3","2024/11/28","","2024/01/21","圣丹斯电影节","https://movie.douban.com/subject/36676003/"
"牙狼：钢之继承者 / 牙狼＜GARO＞ハガネを継ぐ者","3","2024/11/28","","2024/01/11","日本","https://movie.douban.com/subject/36597255/"
"飞出个未来 第十二季 / Futurama Season 12","3","2024/10/27","","2024/07/29","美国","https://movie.douban.com/subject/36708796/"
"夏至物语 / 夏至物語","3","2024/10/27","","2023/10/08","日本","https://movie.douban.com/subject/36553327/"
"布基乌基 / ブギウギ","3","2024/10/27","","2023/10/02","日本","https://movie.douban.com/subject/35943853/"
"星际迷航：神童 第二季 / Star Trek: Prodigy Season 2","3","2024/10/27","","2024/07/01","美国","https://movie.douban.com/subject/36931155/"
"狐妖小红娘·镜花缘篇","2","2024/10/27","","2024/08/03","中国大陆","https://movie.douban.com/subject/36515737/"
"忍者神龟传奇 / Tales of the Teenage Mutant Ninja Turtles","2","2024/10/27","","2024/08/09","美国","https://movie.douban.com/subject/36772626/"
"毒液：最后一舞 / Venom: The Last Dance","2","2024/10/26","","2024/10/23","中国大陆","https://movie.douban.com/subject/35087675/"
"古墓丽影：劳拉·克劳馥传奇 第一季 / Tomb Raider: The Legend of...","2","2024/10/26","","2024/10/10","美国","https://movie.douban.com/subject/35344111/"
"小丑2：双重妄想 / Joker: Folie à Deux","2","2024/10/16","普","2024/09/04","威尼斯电影节","https://movie.douban.com/subject/34909341/"
"变形金刚：起源 / Transformers One","3","2024/10/01","能不能有点别的创意","2024/09/07","澳大利亚","https://movie.douban.com/subject/34960078/"
"实习医生格蕾 第十九季 / Grey’s Anatomy Season 19","4","2024/09/24","","2022/10/06","美国","https://movie.douban.com/subject/35730928/"
"实习医生格蕾 第二十季 / Grey’s Anatomy Season 20","3","2024/09/24","","2024/03/14","美国","https://movie.douban.com/subject/36331299/"
"荒野机器人 / The Wild Robot","3","2024/09/24","","2024/06/11","安纳西国际动画电影节","https://movie.douban.com/subject/36689857/"
"西施新传","2","2024/09/24","","2024/09/15","中国大陆","https://movie.douban.com/subject/36148848/"
"艾米丽在巴黎 第四季 / Emily in Paris Season 4","2","2024/09/24","","2024/08/15","美国","https://movie.douban.com/subject/35730814/"
"雪国列车(剧版) 第四季 / Snowpiercer Season 4","2","2024/09/24","","2024/07/21","美国","https://movie.douban.com/subject/35547811/"
"野孩子","3","2024/09/17","有点想法但不多，有点糟蹋一个好题材了。小孩的演技值得关注，邓家佳好看。另外感觉上还挺反婚反育的吧，不生娃幸福一辈子呀(4 有用)","2024/09/13","中国大陆","https://movie.douban.com/subject/36399203/"
"假面骑士歌查德 最终话导演剪辑版 / 仮面ライダ一ガッチャード 最...","2","2024/09/17","","2024/09/15","日本","https://movie.douban.com/subject/37028641/"
"六样情","4","2024/09/17","","2024/09/17","中国大陆","https://movie.douban.com/subject/37040084/"
"流浪地球2","3","2024/09/14","","2023/01/22","中国大陆","https://movie.douban.com/subject/35267208/"
"时光之轮 第一季 / The Wheel of Time Season 1","3","2024/09/11","","2021/11/19","美国","https://movie.douban.com/subject/30345453/"
"时光之轮 第二季 / The Wheel of Time Season 2","4","2024/09/11","","2023/09/01","美国","https://movie.douban.com/subject/35468357/"
"权力的游戏：非赢即死 / Game of Thrones: You Win or You Die","4","2024/09/11","","2012/03/23","美国","https://movie.douban.com/subject/25828143/"
"权力的游戏：最后的守夜人 / Game of Thrones: The Last Watch","4","2024/09/11","","2019/05/26","美国","https://movie.douban.com/subject/33385724/"
"指环王：力量之戒 第二季 / The Lord of the Rings: The Rings of ...","3","2024/09/11","","2024/08/29","美国","https://movie.douban.com/subject/34894011/"
"指环王：力量之戒 第一季 / The Lord of the Rings: The Rings of ...","3","2024/09/11","","2022/09/02","美国","https://movie.douban.com/subject/27190093/"
"JK与六法全书 / JKと六法全書","2","2024/09/08","","2024/04/19","日本","https://movie.douban.com/subject/36788083/"
"少林足球","4","2024/09/06","","2001/07/12","中国香港","https://movie.douban.com/subject/1297747/"
"狗镇 / Dogville","4","2024/09/04","","2003/05/19","戛纳电影节","https://movie.douban.com/subject/1298759/"
"毒娘","2","2024/08/30","","2024/04/05","日本","https://movie.douban.com/subject/36643731/"
"假面骑士歌查德 / 仮面ライダーガッチャード","2","2024/08/26","","2023/09/03","日本","https://movie.douban.com/subject/36415440/"
"忍者战队隐连者 第三部·中年奋斗篇 / 忍者戦隊カクレンジャー 第...","3","2024/08/26","","2024/08/04","日本","https://movie.douban.com/subject/36894204/"
"东映特摄动作俱乐部 / 東映特撮アクションクラブ","2","2024/08/26","","2023/04/02","日本","https://movie.douban.com/subject/36344103/"
"约顿娜 最终章 / ヨドンナ THE FINAL","3","2024/08/26","","2024/03/03","日本","https://movie.douban.com/subject/36779381/"
"约顿娜2 / ヨドンナ２","4","2024/08/26","","","","https://movie.douban.com/subject/36931267/"
"超王者 定格动画系列 / キングオージャー ストップモーションシリーズ","3","2024/08/26","","2023/12/11","日本","https://movie.douban.com/subject/36962906/"
"奔奔车比拼 / ブンブンカーバトル","1","2024/08/26","","2024/04/26","日本","https://movie.douban.com/subject/36962908/"
"奔奔者 爆燃赛车 / ブンブンジャー バクアゲカーレース","2","2024/08/26","","2024/03/03","日本","https://movie.douban.com/subject/36962909/"
"侧近战队亲信者 / 側近戦隊ソッキンジャー","2","2024/08/26","","2023/08/06","日本","https://movie.douban.com/subject/36520359/"
"西游记后传","3","2024/08/26","","2000/02/15","中国大陆","https://movie.douban.com/subject/2245679/"
"西游记续集","4","2024/08/26","","2000/02/08","中国大陆","https://movie.douban.com/subject/2156667/"
"守望者(上) / Watchmen Chapter I","2","2024/08/23","","2024/08/13","美国网络","https://movie.douban.com/subject/36488603/"
"伞学院 第四季 / The Umbrella Academy Season 4","1","2024/08/23","","2024/08/08","美国","https://movie.douban.com/subject/36072329/"
"蝙蝠侠：披风斗士 第一季 / Batman: Caped Crusader Season 1","3","2024/08/23","","2024/08/01","美国","https://movie.douban.com/subject/35467048/"
"小孩不笨3","2","2024/08/17","","2024/06/06","新加坡","https://movie.douban.com/subject/36533847/"
"红楼梦之金玉良缘","1","2024/08/17","","2024/08/16","中国大陆","https://movie.douban.com/subject/26924522/"
"异形：夺命舰 / Alien: Romulus","4","2024/08/16","首映场杜比，体验确实还挺不错的，想了想给4吧。作为商业片而言保持了纯粹性和娱乐性的双重高度，作为异形而言可能恐怖要死高度低级了些，不过致敬与回归也都做得不错(1 有用)","2024/08/14","澳大利亚","https://movie.douban.com/subject/35792500/"
"铁血战士2 / Predator 2","1","2024/08/16","","","","https://movie.douban.com/subject/1302718/"
"新铁血战士 / Predators","1","2024/08/16","","","","https://movie.douban.com/subject/3699737/"
"维兰德档案：TED演讲2023 / The Peter Weyland Files: TED Confere...","4","2024/08/16","","2012/10/09","美国","https://movie.douban.com/subject/27076854/"
"维兰德档案：生日快乐！大卫 / The Peter Weyland Files: Happy Bi...","4","2024/08/16","","2012/10/09","美国","https://movie.douban.com/subject/27076853/"
"维兰德档案：静眼，伊丽莎白·肖 / The Peter Weyland Files: Quie...","4","2024/08/16","","2012/10/09","美国","https://movie.douban.com/subject/27098331/"
"维兰德档案：“普罗米修斯”传送 / The Peter Weyland Files: 'Pro...","3","2024/08/16","","2012/10/09","美国","https://movie.douban.com/subject/27098329/"
"铁血战士 / The Predator","1","2024/08/16","","2018/09/07","多伦多电影节","https://movie.douban.com/subject/25917789/"
"异形：隔离 第一季 / Alien: Isolation Season 1","2","2024/08/16","","2019/02/28","美国","https://movie.douban.com/subject/30478955/"
"铁血战士：狩猎 / Prey","1","2024/08/16","","2022/08/05","美国网络","https://movie.douban.com/subject/35262994/"
"回忆录：异形起源故事 / Memory: The Origins of Alien","4","2024/08/15","","2019/01/24","圣丹斯电影节","https://movie.douban.com/subject/30391774/"
"异形大战铁血战士：救赎 / AVP Redemption","1","2024/08/15","","","","https://movie.douban.com/subject/26881148/"
"白蛇：浮生","2","2024/08/12","","2024/08/10","中国大陆","https://movie.douban.com/subject/36463483/"
"月","2","2024/08/12","","2023/10/13","日本","https://movie.douban.com/subject/36465372/"
"谯国夫人","3","2024/08/12","","2024/07/05","中国大陆","https://movie.douban.com/subject/36426994/"
"龙之家族 第二季 / House of the Dragon Season 2","3","2024/08/12","","2024/06/16","美国","https://movie.douban.com/subject/36073279/"
"濑户内海 / セトウツミ","4","2024/08/06","","2016/06/12","上海电影节","https://movie.douban.com/subject/26362351/"
"小孩不笨","3","2024/08/05","","2002/08/24","新加坡","https://movie.douban.com/subject/3155683/"
"小孩不笨2","3","2024/08/05","","2006/09/23","新加坡","https://movie.douban.com/subject/3637947/"
"忍者神龟 / Teenage Mutant Ninja Turtles","4","2024/08/05","","1987/12/14","美国","https://movie.douban.com/subject/1845625/"
"忍者神龟：脱壳而出 / Teenage Mutant Ninja Turtles: Coming Out ...","2","2024/08/05","","","","https://movie.douban.com/subject/5218049/"
"忍者神龟 / Teenage Mutant Ninja Turtles","3","2024/08/05","","","","https://movie.douban.com/subject/1292598/"
"忍者神龟2 / Teenage Mutant Ninja Turtles II: The Secret of the...","2","2024/08/05","","","","https://movie.douban.com/subject/1308900/"
"忍者神龟3 / Teenage Mutant Ninja Turtles III","2","2024/08/05","","","","https://movie.douban.com/subject/1308891/"
"忍者神龟： 下一次突变 / Ninja Turtles: The Next Mutation","3","2024/08/05","","","","https://movie.douban.com/subject/3534564/"
"忍者神龟 第一季 / Teenage Mutant Ninja Turtles Season 1","4","2024/08/05","","","","https://movie.douban.com/subject/2350766/"
"忍者神龟 第二季 / Teenage Mutant Ninja Turtles Season 2","4","2024/08/05","","","","https://movie.douban.com/subject/26309268/"
"忍者神龟 第三季 / Teenage Mutant Ninja Turtles Season 3","4","2024/08/05","","2004/10/02","美国","https://movie.douban.com/subject/26718000/"
"忍者神龟 第四季 / Teenage Mutant Ninja Turtles Season 4","4","2024/08/05","","","","https://movie.douban.com/subject/26717991/"
"忍者神龟 第五季 / Teenage Mutant Ninja Turtles Season 5","4","2024/08/05","","","","https://movie.douban.com/subject/26717992/"
"忍者神龟 第六季 / Teenage Mutant Ninja Turtles Season 6","3","2024/08/05","","","","https://movie.douban.com/subject/26795162/"
"忍者神龟 第七季 / Teenage Mutant Ninja Turtles Season 7","3","2024/08/05","","","","https://movie.douban.com/subject/26795163/"
"永远的忍者神龟 / Turtles Forever","3","2024/08/05","","2009/11/21","美国","https://movie.douban.com/subject/4327538/"
"忍者神龟 第一季 / Teenage Mutant Ninja Turtles Season 1","4","2024/08/05","","","","https://movie.douban.com/subject/10811401/"
"忍者神龟 第二季 / Teenage Mutant Ninja Turtles Season 2","4","2024/08/05","","2013/10/12","美国","https://movie.douban.com/subject/25798226/"
"忍者神龟 第三季 / Teenage Mutant Ninja Turtles Season 3","4","2024/08/05","","","","https://movie.douban.com/subject/26087683/"
"忍者神龟 第四季 / Teenage Mutant Ninja Turtles Season 4","4","2024/08/05","","","","https://movie.douban.com/subject/26661616/"
"忍者神龟 第五季 / Teenage Mutant Ninja Turtles Season 5","3","2024/08/05","","2017/03/19","美国","https://movie.douban.com/subject/27011845/"
"忍者神龟：崛起 第一季 / Rise of the Teenage Mutant Ninja Turtl...","3","2024/08/05","","2018/07/20","美国","https://movie.douban.com/subject/30262059/"
"忍者神龟：崛起 / Rise of the Teenage Mutant Ninja Turtles: The...","2","2024/08/05","","2022/08/05","美国网络","https://movie.douban.com/subject/35125466/"
"忍者神龟：变种大乱斗 / Teenage Mutant Ninja Turtles: Mutant Ma...","2","2024/08/05","","2023/08/02","美国","https://movie.douban.com/subject/26369765/"
"伟大的莉莲·霍尔 / The Great Lillian Hall","3","2024/08/01","","2024/05/31","美国网络","https://movie.douban.com/subject/35377059/"
"末日巡逻队 / Doom Patrol","3","2024/07/31","","2013/11/16","美国","https://movie.douban.com/subject/26969229/"
"正义联盟：时间困境 / JLA Adventures: Trapped in Time","1","2024/07/31","","","","https://movie.douban.com/subject/25820603/"
"机器鸡DC漫画特辑2：罪犯天堂 / Robot Chicken DC Comics Special ...","4","2024/07/31","","","","https://movie.douban.com/subject/25850710/"
"动物侠 / Animal Man","3","2024/07/31","","2014/04/07","美国","https://movie.douban.com/subject/26784985/"
"蝙蝠侠：迷雾奇日 / Batman Strange Days","3","2024/07/31","","2014/04/09","美国","https://movie.douban.com/subject/25867542/"
"绿箭侠 / Green Arrow","2","2024/07/31","","2014/04/16","美国","https://movie.douban.com/subject/26820798/"
"沙赞！ / Shazam!","3","2024/07/31","","2014/04/30","美国","https://movie.douban.com/subject/26988159/"
"生物突击队 / Creature Commandos","2","2024/07/31","","2014/07/05","美国","https://movie.douban.com/subject/26969227/"
"正义联盟：战争 / Justice League: War","4","2024/07/31","","2014/02/04","美国","https://movie.douban.com/subject/25760447/"
"DC展台：洛克中士 / Sgt. Rock","2","2024/07/31","","2019/07/20","美国","https://movie.douban.com/subject/34868192/"
"少年泰坦出击大战少年泰坦 / Teen Titans Go! vs Teen Titans","3","2024/07/31","","2019/09/24","美国","https://movie.douban.com/subject/30481833/"
"DC展台：死亡 / Death","4","2024/07/31","","2019/10/22","美国","https://movie.douban.com/subject/34889749/"
"DC展台：魅影陌客 / The Phantom Stranger","2","2024/07/31","","2020/02/25","美国","https://movie.douban.com/subject/34777821/"
"DC展台：亚当·斯特兰奇 / DC Showcase: Adam Strange","1","2024/07/31","","2020/05/19","美国","https://movie.douban.com/subject/34984573/"
"魔多客 / M.O.D.O.K.","3","2024/07/31","","2021/05/21","美国","https://movie.douban.com/subject/30484754/"
"剧集版超能陆战队 第一季 / Big Hero 6: The Series Season 1","3","2024/07/31","","2017/11/20","美国","https://movie.douban.com/subject/26739292/"
"剧集版超能陆战队 第二季 / Big Hero 6: The Series Season 2","3","2024/07/31","","2019/05/06","美国","https://movie.douban.com/subject/33958300/"
"剧集版超能陆战队 第三季 / Big Hero 6: The Series Season 3","3","2024/07/31","","2020/09/21","美国","https://movie.douban.com/subject/35211468/"
"金刚狼与X战警 / Wolverine and the X-Men","4","2024/07/31","","","","https://movie.douban.com/subject/3793707/"
"绿巨人大战 / Hulk Vs.","2","2024/07/31","","2009/01/27","美国","https://movie.douban.com/subject/3290532/"
"复仇者：世上最强英雄组合 第一季 / The Avengers: Earth's Mighti...","4","2024/07/31","","","","https://movie.douban.com/subject/5154136/"
"复仇者：世上最强英雄组合 第二季 / The Avengers: Earth's Mighti...","3","2024/07/31","","","","https://movie.douban.com/subject/10560672/"
"少年雷神 / Thor: Tales of Asgard","2","2024/07/31","","","","https://movie.douban.com/subject/5150851/"
"复仇者集结 第一季 / Marvel's Avengers Assemble Season 1","3","2024/07/31","","2013/05/26","美国","https://movie.douban.com/subject/22622846/"
"复仇者集结 第二季 / Marvel's Avengers Assemble Season 2","3","2024/07/31","","2014/09/28","美国","https://movie.douban.com/subject/26022706/"
"复仇者集结 第三季 / Marvel's Avengers Assemble Season 3","3","2024/07/31","","2016/03/13","美国","https://movie.douban.com/subject/26718779/"
"复仇者集结 第四季 / Avengers Assemble Season 4","3","2024/07/31","","2017/06/17","美国","https://movie.douban.com/subject/26892385/"
"复仇者集结 第五季 / Avengers Assemble Season 5","2","2024/07/31","","2018/09/23","美国","https://movie.douban.com/subject/30191778/"
